Date,Distance,Moisture
Day1,0,9.1
Day1,0.5,3.3
Day1,1,10.5
Day1,1.5,8
Day1,0,7.6
Day1,0.5,10.5
Day1,1,12.7
Day1,1.5,17.8
Day1,0,10.2
Day1,0.5,11.3
Day1,1,15.6
Day1,1.5,12
Day1,0,8
Day1,0.5,19.9
Day1,1,18.5
Day1,1.5,16.7
Day1,0,7.3
Day1,0.5,10.2
Day1,1,13.4
Day1,1.5,16.7
Day1,0,14.2
Day1,0.5,13.4
Day1,1,16.3
Day1,1.5,17
Day1,0,1.5
Day1,0.5,13.8
Day1,1,10.5
Day1,1.5,12.3
Day1,0,3.3
Day1,0.5,10.5
Day1,1,8
Day1,1.5,16
Day1,0,8
Day1,0.5,9.8
Day1,1,14.5
Day1,1.5,13.4
Day1,0,19.2
Day1,0.5,10.5
Day1,1,15.6
Day1,1.5,13.8
Day1,0,11.3
Day1,0.5,9.8
Day1,1,12
Day1,1.5,12.3
Day1,0,6.2
Day1,0.5,8.4
Day1,1,16
Day1,1.5,8.7
Day1,0,11.6
Day1,0.5,15.2
Day1,1,13.8
Day1,1.5,16.7
Day1,0,16.3
Day1,0.5,10.9
Day1,1,12
Day1,1.5,11.3
Day1,0,14.9
Day1,0.5,13.8
Day1,1,12
Day1,1.5,12.3
Day1,0,9.1
Day1,0.5,6.6
Day1,1,5.1
Day1,1.5,10.9
Day1,0,6
Day1,0.5,6.9
Day1,1,10.2
Day1,1.5,9.8
Day1,0,12
Day1,0.5,16.3
Day1,1,7.6
Day1,1.5,8.4
Day1,0,NA
Day1,0.5,NA
Day1,1,NA
Day1,1.5,NA
Day1,0,NA
Day1,0.5,NA
Day1,1,NA
Day1,1.5,NA
Day1,0,NA
Day1,0.5,NA
Day1,1,NA
Day1,1.5,NA
Day1,0,NA
Day1,0.5,NA
Day1,1,NA
Day1,1.5,NA
Day1,0,NA
Day1,0.5,NA
Day1,1,NA
Day1,1.5,NA
Day1,0,NA
Day1,0.5,NA
Day1,1,NA
Day1,1.5,NA
Day1,0,NA
Day1,0.5,NA
Day1,1,NA
Day1,1.5,NA
Day1,0,NA
Day1,0.5,NA
Day1,1,NA
Day1,1.5,NA
Day1,0,NA
Day1,0.5,NA
Day1,1,NA
Day1,1.5,NA
Day2,0,13.8
Day2,0.5,20.3
Day2,1,21.4
Day2,1.5,15.6
Day2,0,17.4
Day2,0.5,22.5
Day2,1,15.6
Day2,1.5,17
Day2,0,12.7
Day2,0.5,22.8
Day2,1,17
Day2,1.5,23.2
Day2,0,9.5
Day2,0.5,19.2
Day2,1,25.7
Day2,1.5,21
Day2,0,10.7
Day2,0.5,13.1
Day2,1,17
Day2,1.5,22.5
Day2,0,13.8
Day2,0.5,23.2
Day2,1,25.2
Day2,1.5,23.9
Day2,0,8
Day2,0.5,10.2
Day2,1,21.7
Day2,1.5,17.4
Day2,0,NA
Day2,0.5,10.5
Day2,1,13.1
Day2,1.5,16.7
Day2,0,14.9
Day2,0.5,NA
Day2,1,16.7
Day2,1.5,20.3
Day2,0,12.3
Day2,0.5,22.5
Day2,1,25.7
Day2,1.5,17
Day2,0,NA
Day2,0.5,14.9
Day2,1,14.9
Day2,1.5,18.1
Day2,0,6.7
Day2,0.5,16.3
Day2,1,22.8
Day2,1.5,17.8
Day2,0,17
Day2,0.5,18.5
Day2,1,17
Day2,1.5,16.3
Day2,0,18.5
Day2,0.5,14.9
Day2,1,19.2
Day2,1.5,11.3
Day2,0,8
Day2,0.5,16
Day2,1,14.2
Day2,1.5,18.9
Day2,0,5.1
Day2,0.5,10.9
Day2,1,9.8
Day2,1.5,14.5
Day2,0,4
Day2,0.5,10.2
Day2,1,8.7
Day2,1.5,17
Day2,0,6.2
Day2,0.5,21
Day2,1,18.9
Day2,1.5,15.7
Day2,0,11.6
Day2,0.5,14.4
Day2,1,9.1
Day2,1.5,14.9
Day2,0,8.4
Day2,0.5,19.2
Day2,1,13.1
Day2,1.5,14.7
Day2,0,NA
Day2,0.5,NA
Day2,1,NA
Day2,1.5,11.6
Day2,0,4
Day2,0.5,12.3
Day2,1,15.2
Day2,1.5,19.2
Day2,0,4
Day2,0.5,14.9
Day2,1,14.9
Day2,1.5,16.7
Day2,0,NA
Day2,0.5,NA
Day2,1,NA
Day2,1.5,8.4
Day2,0,17
Day2,0.5,21
Day2,1,18.9
Day2,1.5,20.3
Day2,0,13.1
Day2,0.5,9.5
Day2,1,13.8
Day2,1.5,9.5
Day2,0,14.9
Day2,0.5,17.4
Day2,1,13.8
Day2,1.5,12.7
Day3,0,14.9
Day3,0.5,22.5
Day3,1,26.1
Day3,1.5,22.5
Day3,0,34
Day3,0.5,24.6
Day3,1,22.8
Day3,1.5,21.7
Day3,0,10.5
Day3,0.5,23.6
Day3,1,25.5
Day3,1.5,26.4
Day3,0,17.4
Day3,0.5,28.6
Day3,1,34.8
Day3,1.5,31.9
Day3,0,15.2
Day3,0.5,24.6
Day3,1,26.8
Day3,1.5,30.4
Day3,0,49.9
Day3,0.5,28.6
Day3,1,35.8
Day3,1.5,31.9
Day3,0,13.4
Day3,0.5,23.6
Day3,1,27.2
Day3,1.5,18.5
Day3,0,15.6
Day3,0.5,26.2
Day3,1,25.9
Day3,1.5,23.9
Day3,0,21
Day3,0.5,29.7
Day3,1,17.8
Day3,1.5,31.1
Day3,0,22.1
Day3,0.5,23.6
Day3,1,29.7
Day3,1.5,29
Day3,0,15.6
Day3,0.5,26.8
Day3,1,25
Day3,1.5,21.7
Day3,0,15.2
Day3,0.5,24.6
Day3,1,33.7
Day3,1.5,31.5
Day3,0,27.2
Day3,0.5,26.4
Day3,1,25
Day3,1.5,25.7
Day3,0,21.4
Day3,0.5,23.9
Day3,1,22.5
Day3,1.5,22.1
Day3,0,26.8
Day3,0.5,29.7
Day3,1,30.8
Day3,1.5,25
Day3,0,13.1
Day3,0.5,24.3
Day3,1,21
Day3,1.5,20.3
Day3,0,19.2
Day3,0.5,11.6
Day3,1,21.4
Day3,1.5,18.5
Day3,0,16.3
Day3,0.5,34
Day3,1,32.6
Day3,1.5,25
Day3,0,18.5
Day3,0.5,25
Day3,1,15.2
Day3,1.5,29.7
Day3,0,12.6
Day3,0.5,26.8
Day3,1,18.5
Day3,1.5,26.1
Day3,0,14.7
Day3,0.5,8.7
Day3,1,14.2
Day3,1.5,17.4
Day3,0,15.5
Day3,0.5,29.7
Day3,1,27.5
Day3,1.5,18.1
Day3,0,14.7
Day3,0.5,27.5
Day3,1,21.4
Day3,1.5,13.1
Day3,0,13.9
Day3,0.5,9.5
Day3,1,21
Day3,1.5,14.7
Day3,0,14.5
Day3,0.5,27.9
Day3,1,26.8
Day3,1.5,18.1
Day3,0,14.5
Day3,0.5,18.9
Day3,1,16.7
Day3,1.5,22
Day3,0,14.7
Day3,0.5,24.6
Day3,1,17
Day3,1.5,16.2
